CMDLINE /usr/bin/python3 ./memory_profile.py
MEM 5.347656 1690421500.7713
MEM 10.363281 1690421500.8719
MEM 15.472656 1690421500.9724
MEM 24.843750 1690421501.0730
MEM 30.050781 1690421501.1735
MEM 36.523438 1690421501.2741
MEM 38.593750 1690421501.3747
MEM 41.167969 1690421501.4774
MEM 42.824219 1690421501.5780
MEM 43.019531 1690421501.6785
MEM 43.019531 1690421501.7790
MEM 43.019531 1690421501.8796
MEM 43.152344 1690421501.9802
MEM 43.152344 1690421502.0807
MEM 43.152344 1690421502.1813
MEM 43.535156 1690421502.2819
MEM 43.535156 1690421502.3824
MEM 43.535156 1690421502.4830
MEM 43.535156 1690421502.5836
MEM 43.535156 1690421502.6842
MEM 43.535156 1690421502.7847
MEM 43.535156 1690421502.8855
MEM 44.503906 1690421502.9860
MEM 45.156250 1690421503.0866
MEM 46.554688 1690421503.1871
MEM 53.542969 1690421503.2877
MEM 54.675781 1690421503.3908
MEM 56.929688 1690421503.4914
MEM 58.222656 1690421503.5921
MEM 58.574219 1690421503.6926
MEM 75.757812 1690421503.7932
MEM 87.574219 1690421503.8939
MEM 90.644531 1690421503.9945
MEM 107.816406 1690421504.0951
MEM 121.042969 1690421504.1957
MEM 136.003906 1690421504.2962
MEM 158.246094 1690421504.3968
MEM 175.210938 1690421504.4973
MEM 180.023438 1690421504.5979
MEM 182.527344 1690421504.7029
MEM 185.488281 1690421504.8035
MEM 188.035156 1690421504.9041
MEM 191.093750 1690421505.0046
MEM 203.324219 1690421505.1052
MEM 222.417969 1690421505.2061
MEM 231.144531 1690421505.3067
MEM 232.382812 1690421505.4074
MEM 232.906250 1690421505.5081
MEM 238.269531 1690421505.6087
MEM 242.226562 1690421505.7092
MEM 245.613281 1690421505.8119
MEM 248.214844 1690421505.9125
MEM 250.546875 1690421506.0131
MEM 251.757812 1690421506.1136
MEM 251.933594 1690421506.2142
MEM 252.074219 1690421506.3148
MEM 252.308594 1690421506.4153
MEM 274.250000 1690421506.5159
MEM 287.398438 1690421506.6166
MEM 285.343750 1690421506.7172
MEM 305.566406 1690421506.8179
MEM 329.566406 1690421506.9187
MEM 351.566406 1690421507.0199
MEM 375.566406 1690421507.1206
MEM 387.117188 1690421507.2212
MEM 409.468750 1690421507.3219
MEM 431.437500 1690421507.4225
MEM 452.308594 1690421507.5231
MEM 476.851562 1690421507.6239
MEM 503.460938 1690421507.7245
MEM 527.167969 1690421507.8251
MEM 553.000000 1690421507.9257
MEM 577.484375 1690421508.0263
MEM 602.027344 1690421508.1269
MEM 624.519531 1690421508.2275
MEM 646.031250 1690421508.3281
MEM 669.750000 1690421508.4287
MEM 693.468750 1690421508.5293
MEM 714.351562 1690421508.6299
MEM 737.554688 1690421508.7306
MEM 759.210938 1690421508.8312
MEM 783.187500 1690421508.9319
MEM 805.617188 1690421509.0325
MEM 828.457031 1690421509.1332
MEM 850.886719 1690421509.2343
MEM 873.832031 1690421509.3349
MEM 892.652344 1690421509.4356
MEM 907.347656 1690421509.5362
MEM 921.011719 1690421509.6368
MEM 936.222656 1690421509.7374
MEM 958.652344 1690421509.8380
MEM 987.785156 1690421509.9386
MEM 1009.699219 1690421510.0392
MEM 1009.699219 1690421510.1398
MEM 1009.699219 1690421510.2404
MEM 1009.699219 1690421510.3410
MEM 1009.699219 1690421510.4416
MEM 1009.699219 1690421510.5422
MEM 1009.699219 1690421510.6428
MEM 1009.699219 1690421510.7434
MEM 1009.699219 1690421510.8440
MEM 1009.699219 1690421510.9446
MEM 1009.699219 1690421511.0453
MEM 1009.699219 1690421511.1459
MEM 1033.675781 1690421511.2465
MEM 1065.386719 1690421511.3471
MEM 1096.839844 1690421511.4477
MEM 1103.800781 1690421511.5483
MEM 1103.800781 1690421511.6488
MEM 1103.800781 1690421511.7494
MEM 1103.800781 1690421511.8500
MEM 1103.800781 1690421511.9505
MEM 1103.800781 1690421512.0511
MEM 1103.800781 1690421512.1517
MEM 1103.800781 1690421512.2523
MEM 1016.777344 1690421512.3529
MEM 1036.707031 1690421512.4534
MEM 1054.753906 1690421512.5540
