CMDLINE /usr/bin/python3 ./memory_profile.py
MEM 0.718750 1690420362.6556
MEM 10.242188 1690420362.7561
MEM 15.792969 1690420362.8567
MEM 23.429688 1690420362.9573
MEM 27.351562 1690420363.0579
MEM 33.992188 1690420363.1584
MEM 37.183594 1690420363.2590
MEM 37.503906 1690420363.3596
MEM 39.539062 1690420363.4601
MEM 41.226562 1690420363.5607
MEM 41.667969 1690420363.6613
MEM 41.667969 1690420363.7618
MEM 41.792969 1690420363.8624
MEM 41.792969 1690420363.9629
MEM 41.792969 1690420364.0635
MEM 41.792969 1690420364.1641
MEM 42.183594 1690420364.2646
MEM 42.183594 1690420364.3651
MEM 42.183594 1690420364.4656
MEM 42.183594 1690420364.5661
MEM 42.183594 1690420364.6666
MEM 42.183594 1690420364.7672
MEM 43.144531 1690420364.8678
MEM 43.812500 1690420364.9683
MEM 45.203125 1690420365.0688
MEM 52.375000 1690420365.1693
MEM 53.246094 1690420365.2699
MEM 55.867188 1690420365.3704
MEM 57.113281 1690420365.4709
MEM 58.414062 1690420365.5718
MEM 74.179688 1690420365.6724
MEM 85.933594 1690420365.7730
MEM 89.062500 1690420365.8736
MEM 106.863281 1690420365.9741
MEM 120.160156 1690420366.0747
MEM 136.820312 1690420366.1753
MEM 167.050781 1690420366.2758
MEM 174.960938 1690420366.3775
MEM 178.957031 1690420366.4781
MEM 182.023438 1690420366.5787
MEM 184.781250 1690420366.6792
MEM 187.980469 1690420366.7797
MEM 195.597656 1690420366.8803
MEM 204.894531 1690420366.9809
MEM 223.765625 1690420367.0814
MEM 230.277344 1690420367.1820
MEM 230.820312 1690420367.2826
MEM 234.457031 1690420367.3832
MEM 238.550781 1690420367.4838
MEM 241.562500 1690420367.5843
MEM 245.617188 1690420367.6849
MEM 248.171875 1690420367.7855
MEM 249.910156 1690420367.8861
MEM 250.332031 1690420367.9866
MEM 250.460938 1690420368.0871
MEM 250.460938 1690420368.1877
MEM 268.437500 1690420368.2883
MEM 283.601562 1690420368.3998
MEM 283.601562 1690420368.5003
MEM 330.761719 1690420368.6010
MEM 410.570312 1690420368.7016
MEM 486.351562 1690420368.8022
MEM 561.234375 1690420368.9028
MEM 286.433594 1690420369.0035
MEM 287.519531 1690420369.1040
MEM 287.773438 1690420369.2046
MEM 288.230469 1690420369.3051
MEM 288.480469 1690420369.4057
MEM 288.734375 1690420369.5063
MEM 296.355469 1690420369.6069
MEM 342.058594 1690420369.7075
MEM 357.968750 1690420369.8081
MEM 412.480469 1690420369.9087
MEM 421.847656 1690420370.0093
MEM 448.433594 1690420370.1099
MEM 489.425781 1690420370.2105
MEM 534.777344 1690420370.3111
MEM 550.246094 1690420370.4118
MEM 558.039062 1690420370.5123
MEM 589.316406 1690420370.6130
MEM 625.683594 1690420370.7136
MEM 670.433594 1690420370.8142
MEM 684.777344 1690420370.9148
MEM 730.367188 1690420371.0153
MEM 757.160156 1690420371.1160
MEM 787.460938 1690420371.2165
MEM 822.777344 1690420371.3171
MEM 878.167969 1690420371.4178
MEM 909.363281 1690420371.5184
MEM 956.785156 1690420371.6190
MEM 1003.964844 1690420371.7202
MEM 1008.863281 1690420371.8208
MEM 1015.019531 1690420371.9214
MEM 1043.812500 1690420372.0220
MEM 1103.808594 1690420372.1226
MEM 1116.183594 1690420372.2232
MEM 1136.621094 1690420372.3238
MEM 1173.769531 1690420372.4244
MEM 1205.480469 1690420372.5249
MEM 1220.667969 1690420372.6255
MEM 1246.074219 1690420372.7262
MEM 1279.308594 1690420372.8268
MEM 1335.769531 1690420372.9276
MEM 1360.261719 1690420373.0282
MEM 1372.484375 1690420373.1287
MEM 1401.945312 1690420373.2295
MEM 1428.992188 1690420373.3305
MEM 1466.410156 1690420373.4311
MEM 1529.644531 1690420373.5317
MEM 1546.144531 1690420373.6323
MEM 1571.574219 1690420373.7329
MEM 1586.257812 1690420373.8335
MEM 1623.699219 1690420373.9350
MEM 1644.535156 1690420374.0357
MEM 1678.742188 1690420374.1363
MEM 1709.257812 1690420374.2371
MEM 1761.992188 1690420374.3377
MEM 1776.875000 1690420374.4382
MEM 1798.050781 1690420374.5388
MEM 1820.796875 1690420374.6394
MEM 1851.171875 1690420374.7400
MEM 1881.371094 1690420374.8405
MEM 1914.207031 1690420374.9411
MEM 1949.246094 1690420375.0417
MEM 1974.769531 1690420375.1423
MEM 1989.007812 1690420375.2429
MEM 2021.445312 1690420375.3435
MEM 2066.843750 1690420375.4441
