CMDLINE /usr/bin/python3 ./memory_profile.py
MEM 0.777344 1690421581.2220
MEM 9.941406 1690421581.3225
MEM 15.386719 1690421581.4230
MEM 18.257812 1690421581.5236
MEM 26.593750 1690421581.6241
MEM 31.093750 1690421581.7247
MEM 35.609375 1690421581.8253
MEM 38.066406 1690421581.9259
MEM 38.140625 1690421582.0264
MEM 40.144531 1690421582.1270
MEM 41.042969 1690421582.2278
MEM 41.468750 1690421582.3284
MEM 41.593750 1690421582.4296
MEM 41.593750 1690421582.5319
MEM 41.593750 1690421582.6324
MEM 41.593750 1690421582.7329
MEM 41.593750 1690421582.8342
MEM 41.984375 1690421582.9353
MEM 41.984375 1690421583.0360
MEM 41.984375 1690421583.1365
MEM 41.984375 1690421583.2396
MEM 41.984375 1690421583.3402
MEM 41.984375 1690421583.4407
MEM 42.183594 1690421583.5412
MEM 42.929688 1690421583.6418
MEM 43.582031 1690421583.7423
MEM 44.855469 1690421583.8428
MEM 44.855469 1690421583.9433
MEM 44.960938 1690421584.0438
MEM 45.003906 1690421584.1443
MEM 45.003906 1690421584.2450
MEM 51.269531 1690421584.3455
MEM 52.292969 1690421584.4461
MEM 52.292969 1690421584.5468
MEM 52.789062 1690421584.6473
MEM 53.464844 1690421584.7488
MEM 55.777344 1690421584.8494
MEM 56.433594 1690421584.9500
MEM 57.011719 1690421585.0510
MEM 57.011719 1690421585.1515
MEM 57.421875 1690421585.2521
MEM 67.128906 1690421585.3526
MEM 77.792969 1690421585.4543
MEM 89.113281 1690421585.5549
MEM 102.816406 1690421585.6555
MEM 111.144531 1690421585.7560
MEM 122.246094 1690421585.8566
MEM 139.304688 1690421585.9572
MEM 167.839844 1690421586.0578
MEM 174.160156 1690421586.1583
MEM 177.226562 1690421586.2588
MEM 180.250000 1690421586.3597
MEM 182.199219 1690421586.4603
MEM 183.835938 1690421586.5608
MEM 185.769531 1690421586.6614
MEM 187.820312 1690421586.7619
MEM 193.394531 1690421586.8624
MEM 198.179688 1690421586.9632
MEM 206.660156 1690421587.0638
MEM 223.082031 1690421587.1643
MEM 229.242188 1690421587.2649
MEM 229.832031 1690421587.3655
MEM 231.804688 1690421587.4660
MEM 236.484375 1690421587.5665
MEM 239.273438 1690421587.6670
MEM 241.679688 1690421587.7676
MEM 244.835938 1690421587.8681
MEM 247.144531 1690421587.9686
MEM 248.445312 1690421588.0691
MEM 249.316406 1690421588.1697
MEM 249.460938 1690421588.2701
MEM 249.460938 1690421588.3707
MEM 256.410156 1690421588.4712
MEM 284.429688 1690421588.5718
MEM 282.632812 1690421588.6723
MEM 282.632812 1690421588.7728
MEM 296.902344 1690421588.8734
MEM 318.902344 1690421588.9743
MEM 338.902344 1690421589.0759
MEM 358.902344 1690421589.1772
MEM 377.484375 1690421589.2778
MEM 389.078125 1690421589.3787
MEM 410.144531 1690421589.4793
MEM 433.671875 1690421589.5802
MEM 453.441406 1690421589.6809
MEM 477.468750 1690421589.7818
MEM 503.570312 1690421589.8828
MEM 527.597656 1690421589.9834
MEM 551.625000 1690421590.0841
MEM 575.726562 1690421590.1852
MEM 598.851562 1690421590.2864
MEM 620.507812 1690421590.3878
MEM 642.421875 1690421590.4891
MEM 665.109375 1690421590.5899
MEM 688.054688 1690421590.6911
MEM 709.968750 1690421590.7919
MEM 732.140625 1690421590.8925
MEM 754.054688 1690421590.9931
MEM 776.742188 1690421591.0939
MEM 798.914062 1690421591.1946
MEM 819.816406 1690421591.2961
MEM 842.171875 1690421591.3974
MEM 864.085938 1690421591.4982
MEM 885.226562 1690421591.5989
MEM 906.625000 1690421591.6997
MEM 296.726562 1690421591.8002
MEM 298.109375 1690421591.9008
MEM 298.394531 1690421592.0013
MEM 298.484375 1690421592.1018
MEM 298.890625 1690421592.2023
MEM 299.140625 1690421592.3028
MEM 307.550781 1690421592.4035
MEM 325.062500 1690421592.5041
MEM 379.351562 1690421592.6052
MEM 386.777344 1690421592.7058
MEM 466.660156 1690421592.8064
MEM 474.910156 1690421592.9070
MEM 472.535156 1690421593.0076
MEM 497.687500 1690421593.1082
MEM 541.949219 1690421593.2088
MEM 579.644531 1690421593.3094
MEM 608.621094 1690421593.4099
MEM 643.683594 1690421593.5105
MEM 668.031250 1690421593.6111
MEM 672.414062 1690421593.7117
MEM 718.515625 1690421593.8123
MEM 727.539062 1690421593.9128
MEM 755.300781 1690421594.0134
MEM 763.621094 1690421594.1140
MEM 822.316406 1690421594.2145
MEM 850.476562 1690421594.3151
MEM 878.425781 1690421594.4158
MEM 927.753906 1690421594.5163
MEM 940.808594 1690421594.6169
MEM 986.703125 1690421594.7175
MEM 1001.738281 1690421594.8186
MEM 1031.937500 1690421594.9194
MEM 1063.070312 1690421595.0200
MEM 1108.085938 1690421595.1206
MEM 1127.714844 1690421595.2212
MEM 1168.824219 1690421595.3218
MEM 1218.019531 1690421595.4223
