CMDLINE /usr/bin/python3 ./memory_profile.py
MEM 0.726562 1690420163.3766
MEM 11.472656 1690420163.4772
MEM 16.613281 1690420163.5777
MEM 26.261719 1690420163.6782
MEM 35.000000 1690420163.7787
MEM 37.730469 1690420163.8792
MEM 40.460938 1690420163.9798
MEM 41.968750 1690420164.0803
MEM 42.847656 1690420164.1808
MEM 42.847656 1690420164.2813
MEM 42.847656 1690420164.3818
MEM 42.847656 1690420164.4824
MEM 42.847656 1690420164.5829
MEM 42.847656 1690420164.6835
MEM 43.250000 1690420164.7841
MEM 43.250000 1690420164.8846
MEM 43.250000 1690420164.9851
MEM 43.250000 1690420165.0856
MEM 43.250000 1690420165.1862
MEM 43.250000 1690420165.2867
MEM 43.789062 1690420165.3872
MEM 44.863281 1690420165.4879
MEM 46.214844 1690420165.5884
MEM 48.214844 1690420165.6890
MEM 54.050781 1690420165.7896
MEM 55.121094 1690420165.8901
MEM 57.351562 1690420165.9906
MEM 58.179688 1690420166.0912
MEM 75.410156 1690420166.1919
MEM 87.328125 1690420166.2925
MEM 90.222656 1690420166.3931
MEM 108.000000 1690420166.4936
MEM 123.222656 1690420166.5942
MEM 139.253906 1690420166.6948
MEM 168.652344 1690420166.7954
MEM 178.414062 1690420166.8961
MEM 182.515625 1690420166.9966
MEM 185.539062 1690420167.0972
MEM 188.410156 1690420167.1977
MEM 191.621094 1690420167.2983
MEM 197.843750 1690420167.3988
MEM 208.828125 1690420167.4995
MEM 228.222656 1690420167.6000
MEM 234.480469 1690420167.7005
MEM 234.988281 1690420167.8011
MEM 240.312500 1690420167.9016
MEM 244.539062 1690420168.0021
MEM 248.265625 1690420168.1026
MEM 251.386719 1690420168.2032
MEM 253.671875 1690420168.3045
MEM 254.593750 1690420168.4051
MEM 254.726562 1690420168.5057
MEM 254.726562 1690420168.6063
MEM 266.117188 1690420168.7069
MEM 290.152344 1690420168.8076
MEM 337.171875 1690420168.9082
MEM 413.718750 1690420169.0088
MEM 480.734375 1690420169.1095
MEM 544.855469 1690420169.2101
MEM 604.882812 1690420169.3106
MEM 635.488281 1690420169.4112
MEM 667.199219 1690420169.5118
MEM 694.011719 1690420169.6124
MEM 694.011719 1690420169.7129
MEM 694.011719 1690420169.8135
MEM 694.011719 1690420169.9141
MEM 694.011719 1690420170.0146
MEM 694.011719 1690420170.1152
MEM 694.011719 1690420170.2158
MEM 694.011719 1690420170.3163
MEM 694.011719 1690420170.4169
MEM 717.472656 1690420170.5175
MEM 748.152344 1690420170.6181
MEM 778.574219 1690420170.7187
MEM 788.371094 1690420170.8192
MEM 788.371094 1690420170.9198
MEM 788.371094 1690420171.0204
MEM 788.371094 1690420171.1209
MEM 788.371094 1690420171.2215
MEM 788.371094 1690420171.3220
MEM 788.371094 1690420171.4226
MEM 788.371094 1690420171.5232
MEM 698.921875 1690420171.6238
MEM 722.011719 1690420171.7243
MEM 740.316406 1690420171.8249
MEM 763.003906 1690420171.9255
MEM 783.371094 1690420172.0261
MEM 803.480469 1690420172.1266
MEM 826.941406 1690420172.2273
MEM 846.277344 1690420172.3278
MEM 868.707031 1690420172.4284
MEM 887.527344 1690420172.5290
MEM 910.472656 1690420172.6296
MEM 934.964844 1690420172.7302
MEM 966.417969 1690420172.8308
MEM 997.871094 1690420172.9315
MEM 1005.605469 1690420173.0321
MEM 1005.605469 1690420173.1327
MEM 1005.605469 1690420173.2332
MEM 1005.605469 1690420173.3338
MEM 1005.605469 1690420173.4344
MEM 1005.605469 1690420173.5350
MEM 1005.605469 1690420173.6356
MEM 1005.605469 1690420173.7362
MEM 914.507812 1690420173.8368
MEM 936.414062 1690420173.9373
MEM 958.585938 1690420174.0379
MEM 978.437500 1690420174.1386
MEM 1001.640625 1690420174.2392
MEM 1019.945312 1690420174.3397
MEM 1040.570312 1690420174.4403
MEM 1062.742188 1690420174.5408
MEM 1081.562500 1690420174.6414
MEM 1103.476562 1690420174.7420
MEM 1124.101562 1690420174.8425
MEM 1142.664062 1690420174.9431
MEM 1165.351562 1690420175.0437
MEM 1184.945312 1690420175.1442
MEM 1206.601562 1690420175.2448
MEM 1227.742188 1690420175.3454
MEM 1249.140625 1690420175.4460
MEM 1263.175781 1690420175.5471
MEM 1276.355469 1690420175.6483
MEM 1290.375000 1690420175.7495
MEM 1320.070312 1690420175.8501
MEM 1349.558594 1690420175.9507
MEM 1351.578125 1690420176.0513
MEM 1381.273438 1690420176.1520
MEM 1400.191406 1690420176.2526
MEM 1435.984375 1690420176.3532
MEM 1448.988281 1690420176.4538
MEM 1480.769531 1690420176.5543
MEM 1501.242188 1690420176.6549
MEM 1542.484375 1690420176.7556
