CMDLINE /home/ey/personal/program/MoE/huggingface/transformers/venv/bin/python /home/ey/personal/program/MoE/huggingface/transformers/examples/research_projects/switch-base-generation/memory_profile.py
MEM 0.500000 1692338749.5576
MEM 25.109375 1692338749.6579
MEM 40.511719 1692338749.7582
MEM 56.386719 1692338749.8584
MEM 63.636719 1692338749.9587
MEM 123.203125 1692338750.0590
MEM 168.328125 1692338750.1593
MEM 188.703125 1692338750.2596
MEM 264.953125 1692338750.3598
MEM 276.828125 1692338750.4601
MEM 285.453125 1692338750.5604
MEM 297.078125 1692338750.6606
MEM 306.078125 1692338750.7609
MEM 317.328125 1692338750.8612
MEM 325.203125 1692338750.9614
MEM 329.953125 1692338751.0617
MEM 339.203125 1692338751.1620
MEM 347.859375 1692338751.2623
MEM 348.359375 1692338751.3625
MEM 402.484375 1692338751.4628
MEM 450.859375 1692338751.5631
MEM 489.609375 1692338751.6634
MEM 531.109375 1692338751.7637
MEM 583.859375 1692338751.8639
MEM 634.609375 1692338751.9642
MEM 689.109375 1692338752.0645
MEM 740.609375 1692338752.1648
MEM 787.234375 1692338752.2651
MEM 834.109375 1692338752.3653
MEM 882.734375 1692338752.4656
MEM 932.109375 1692338752.5659
MEM 978.984375 1692338752.6662
MEM 1027.484375 1692338752.7665
MEM 1076.234375 1692338752.8668
MEM 1123.109375 1692338752.9671
MEM 1169.734375 1692338753.0673
MEM 1214.359375 1692338753.1676
MEM 1261.109375 1692338753.2679
MEM 1309.484375 1692338753.3682
MEM 1357.609375 1692338753.4685
MEM 1406.234375 1692338753.5688
MEM 1455.984375 1692338753.6690
MEM 1507.734375 1692338753.7693
MEM 1556.734375 1692338753.8696
MEM 1605.484375 1692338753.9699
MEM 1656.609375 1692338754.0701
MEM 1706.609375 1692338754.1704
MEM 1754.984375 1692338754.2707
MEM 1803.484375 1692338754.3710
MEM 1852.234375 1692338754.4712
MEM 1899.859375 1692338754.5715
MEM 1948.859375 1692338754.6718
MEM 1996.234375 1692338754.7721
MEM 2045.109375 1692338754.8724
MEM 2092.859375 1692338754.9727
MEM 2141.984375 1692338755.0730
MEM 2188.734375 1692338755.1732
MEM 2239.734375 1692338755.2735
MEM 2289.984375 1692338755.3738
MEM 2340.234375 1692338755.4741
MEM 2387.484375 1692338755.5743
MEM 2492.234375 1692338755.6746
MEM 2611.734375 1692338755.7749
MEM 2700.484375 1692338755.8752
MEM 2742.984375 1692338755.9755
MEM 2820.109375 1692338756.0758
MEM 2877.609375 1692338756.1761
MEM 2838.777344 1692338756.2764
MEM 2902.152344 1692338756.3767
MEM 2966.402344 1692338756.4770
MEM 3029.027344 1692338756.5773
MEM 3092.527344 1692338756.6775
MEM 3157.277344 1692338756.7778
MEM 3220.902344 1692338756.8781
MEM 3284.027344 1692338756.9784
MEM 3348.027344 1692338757.0787
MEM 3410.652344 1692338757.1789
MEM 3473.777344 1692338757.2792
MEM 3536.777344 1692338757.3795
MEM 3597.277344 1692338757.4797
MEM 3660.902344 1692338757.5800
MEM 3725.027344 1692338757.6803
MEM 3786.527344 1692338757.7805
MEM 3846.777344 1692338757.8808
MEM 3901.277344 1692338757.9811
MEM 3976.652344 1692338758.0814
MEM 3929.328125 1692338758.1817
MEM 3994.453125 1692338758.2819
MEM 4068.953125 1692338758.3822
MEM 4142.328125 1692338758.4825
MEM 4217.203125 1692338758.5828
MEM 4293.078125 1692338758.6830
MEM 4365.453125 1692338758.7833
MEM 4441.703125 1692338758.8836
MEM 4516.828125 1692338758.9839
MEM 4591.328125 1692338759.0841
MEM 4667.703125 1692338759.1844
MEM 4742.078125 1692338759.2847
MEM 4818.578125 1692338759.3850
MEM 4894.953125 1692338759.4852
MEM 4968.703125 1692338759.5855
MEM 5046.078125 1692338759.6858
MEM 5090.453125 1692338759.7861
MEM 5090.453125 1692338759.8863
MEM 5090.453125 1692338759.9865
MEM 5090.453125 1692338760.0868
MEM 5090.453125 1692338760.1870
MEM 5090.453125 1692338760.2872
MEM 5091.203125 1692338760.3875
MEM 5091.203125 1692338760.4878
MEM 5091.203125 1692338760.5881
MEM 5091.203125 1692338760.6883
MEM 5091.203125 1692338760.7886
MEM 5091.203125 1692338760.8889
MEM 5091.203125 1692338760.9892
MEM 5091.203125 1692338761.0894
MEM 5091.203125 1692338761.1897
MEM 5091.203125 1692338761.2899
MEM 5091.203125 1692338761.3902
MEM 5091.203125 1692338761.4904
MEM 5091.203125 1692338761.5906
MEM 5091.203125 1692338761.6908
MEM 4992.171875 1692338761.7910
MEM 3059.617188 1692338761.8913
MEM 3063.617188 1692338761.9916
MEM 2542.039062 1692338762.0919
MEM 485.890625 1692338762.1922
MEM 390.910156 1692338762.2925
MEM 391.035156 1692338762.3929
MEM 398.156250 1692338762.4932
