CMDLINE /home/ey/personal/program/MoE/huggingface/transformers/venv/bin/python ./memory_profile.py
MEM 0.007812 1684682783.9684
MEM 10.425781 1684682784.0691
MEM 17.113281 1684682784.1697
MEM 21.199219 1684682784.2703
MEM 27.457031 1684682784.3712
MEM 33.859375 1684682784.4717
MEM 38.917969 1684682784.5724
MEM 40.765625 1684682784.6732
MEM 42.660156 1684682784.7739
MEM 44.085938 1684682784.8745
MEM 46.148438 1684682784.9751
MEM 53.347656 1684682785.0758
MEM 56.699219 1684682785.1764
MEM 97.144531 1684682785.2772
MEM 105.253906 1684682785.3779
MEM 117.292969 1684682785.4787
MEM 131.917969 1684682785.5795
MEM 140.816406 1684682785.6802
MEM 148.207031 1684682785.7808
MEM 153.140625 1684682785.8814
MEM 157.000000 1684682785.9821
MEM 164.136719 1684682786.0827
MEM 167.566406 1684682786.1833
MEM 172.371094 1684682786.2839
MEM 180.359375 1684682786.3845
MEM 212.808594 1684682786.4851
MEM 243.769531 1684682786.5857
MEM 251.019531 1684682786.6862
MEM 254.468750 1684682786.7868
MEM 257.617188 1684682786.8875
MEM 258.390625 1684682786.9880
MEM 261.539062 1684682787.0886
MEM 265.164062 1684682787.1891
MEM 268.000000 1684682787.2897
MEM 270.152344 1684682787.3904
MEM 274.628906 1684682787.4909
MEM 276.773438 1684682787.5915
MEM 280.125000 1684682787.6920
MEM 285.406250 1684682787.7925
MEM 287.468750 1684682787.8932
MEM 291.593750 1684682787.9938
MEM 295.718750 1684682788.0943
MEM 297.781250 1684682788.1948
MEM 300.617188 1684682788.2954
MEM 301.132812 1684682788.3960
MEM 303.968750 1684682788.4966
MEM 306.546875 1684682788.5972
MEM 308.324219 1684682788.6977
MEM 311.160156 1684682788.7982
MEM 314.289062 1684682788.8988
MEM 318.156250 1684682788.9993
MEM 320.992188 1684682789.1000
MEM 323.312500 1684682789.2006
MEM 323.570312 1684682789.3011
MEM 323.828125 1684682789.4016
MEM 324.085938 1684682789.5021
MEM 324.085938 1684682789.6026
MEM 335.363281 1684682789.7032
MEM 357.414062 1684682789.8039
MEM 357.359375 1684682789.9045
MEM 399.179688 1684682790.0051
MEM 446.875000 1684682790.1057
MEM 474.511719 1684682790.2063
MEM 499.003906 1684682790.3069
MEM 535.871094 1684682790.4075
MEM 576.605469 1684682790.5081
MEM 618.371094 1684682790.6088
MEM 656.011719 1684682790.7093
MEM 695.457031 1684682790.8100
MEM 731.035156 1684682790.9107
MEM 769.449219 1684682791.0113
MEM 805.027344 1684682791.1120
MEM 841.636719 1684682791.2127
MEM 879.792969 1684682791.3133
MEM 918.207031 1684682791.4139
MEM 953.269531 1684682791.5145
MEM 988.617188 1684682791.6151
MEM 1004.859375 1684682791.7157
MEM 1021.875000 1684682791.8164
MEM 1038.890625 1684682791.9170
MEM 1055.648438 1684682792.0176
MEM 1071.890625 1684682792.1183
MEM 1081.945312 1684682792.2189
MEM 1089.679688 1684682792.3196
MEM 1105.921875 1684682792.4202
MEM 1122.937500 1684682792.5209
MEM 1140.726562 1684682792.6215
MEM 1158.773438 1684682792.7221
MEM 1176.046875 1684682792.8227
MEM 1083.722656 1684682792.9233
MEM 1099.304688 1684682793.0238
MEM 1114.000000 1684682793.1244
MEM 1128.437500 1684682793.2250
MEM 1144.679688 1684682793.3256
MEM 1157.312500 1684682793.4262
MEM 1168.398438 1684682793.5268
MEM 1184.382812 1684682793.6274
MEM 1199.593750 1684682793.7279
MEM 1216.609375 1684682793.8285
MEM 1231.304688 1684682793.9291
MEM 1246.773438 1684682794.0296
MEM 1261.984375 1684682794.1302
MEM 1277.710938 1684682794.2309
MEM 1292.921875 1684682794.3315
MEM 1309.679688 1684682794.4320
MEM 1329.531250 1684682794.5326
MEM 1350.156250 1684682794.6331
MEM 1370.781250 1684682794.7337
MEM 1391.148438 1684682794.8343
MEM 1317.683594 1684682794.9348
MEM 1314.785156 1684682795.0354
MEM 1331.800781 1684682795.1359
MEM 1348.300781 1684682795.2365
MEM 1364.542969 1684682795.3370
MEM 1381.558594 1684682795.4375
MEM 1398.574219 1684682795.5381
MEM 1414.816406 1684682795.6387
MEM 1431.574219 1684682795.7392
MEM 1448.589844 1684682795.8398
MEM 1464.574219 1684682795.9403
MEM 1481.332031 1684682796.0408
MEM 1498.605469 1684682796.1414
MEM 1515.363281 1684682796.2419
MEM 1531.347656 1684682796.3426
MEM 1548.105469 1684682796.4431
MEM 1564.605469 1684682796.5437
MEM 1580.847656 1684682796.6442
MEM 1597.863281 1684682796.7447
MEM 1615.136719 1684682796.8453
MEM 1631.378906 1684682796.9458
MEM 1642.722656 1684682797.0464
MEM 1654.066406 1684682797.1469
MEM 1660.769531 1684682797.2475
MEM 1676.496094 1684682797.3480
MEM 1681.136719 1684682797.4485
MEM 1696.863281 1684682797.5491
MEM 1703.308594 1684682797.6496
MEM 1714.652344 1684682797.7501
MEM 1725.480469 1684682797.8507
MEM 1732.699219 1684682797.9515
MEM 1737.597656 1684682798.0521
MEM 1750.746094 1684682798.1526
MEM 1758.222656 1684682798.2532
MEM 1768.792969 1684682798.3537
MEM 1780.394531 1684682798.4543
MEM 1786.839844 1684682798.5548
MEM 1803.339844 1684682798.6553
MEM 1807.980469 1684682798.7559
MEM 1822.933594 1684682798.8564
MEM 1830.152344 1684682798.9570
MEM 1840.980469 1684682799.0575
MEM 1853.355469 1684682799.1581
MEM 1859.027344 1684682799.2586
MEM 1876.300781 1684682799.3594
MEM 1880.683594 1684682799.4599
MEM 1894.863281 1684682799.5605
MEM 1902.855469 1684682799.6610
MEM 1912.910156 1684682799.7615
MEM 1925.285156 1684682799.8621
MEM 1930.957031 1684682799.9626
MEM 1947.457031 1684682800.0632
MEM 1952.613281 1684682800.1637
MEM 1967.050781 1684682800.2643
MEM 1974.269531 1684682800.3648
MEM 1985.097656 1684682800.4653
MEM 1996.699219 1684682800.5659
MEM 2003.144531 1684682800.6664
MEM 2019.644531 1684682800.7670
MEM 2023.511719 1684682800.8675
MEM 2039.238281 1684682800.9680
MEM 2046.457031 1684682801.0686
MEM 2057.285156 1684682801.1691
MEM 2068.628906 1684682801.2697
MEM 2075.074219 1684682801.3702
MEM 2087.449219 1684682801.4708
MEM 2093.121094 1684682801.5714
MEM 2109.363281 1684682801.6719
MEM 2114.003906 1684682801.7725
MEM 2129.214844 1684682801.8730
MEM 2135.660156 1684682801.9736
MEM 2147.261719 1684682802.0741
MEM 2157.058594 1684682802.1747
MEM 2165.308594 1684682802.2752
MEM 2179.746094 1684682802.3758
MEM 2184.644531 1684682802.4764
MEM 2201.402344 1684682802.5769
MEM 2207.332031 1684682802.6774
MEM 2219.449219 1684682802.7780
MEM 2230.019531 1684682802.8785
MEM 2237.238281 1684682802.9791
MEM 2251.160156 1684682803.0796
MEM 2255.800781 1684682803.1802
MEM 2273.332031 1684682803.2807
