CMDLINE /home/ey/personal/program/MoE/huggingface/transformers/venv/bin/python ./memory_profile.py
MEM 0.007812 1684683834.5747
MEM 10.316406 1684683834.6753
MEM 16.710938 1684683834.7759
MEM 20.613281 1684683834.8765
MEM 25.843750 1684683834.9774
MEM 28.996094 1684683835.0782
MEM 35.109375 1684683835.1790
MEM 37.382812 1684683835.2798
MEM 39.394531 1684683835.3806
MEM 41.363281 1684683835.4813
MEM 42.488281 1684683835.5820
MEM 43.687500 1684683835.6827
MEM 45.230469 1684683835.7835
MEM 46.003906 1684683835.8842
MEM 52.695312 1684683835.9850
MEM 53.468750 1684683836.0856
MEM 53.984375 1684683836.1864
MEM 77.734375 1684683836.2873
MEM 99.953125 1684683836.3880
MEM 102.082031 1684683836.4887
MEM 113.664062 1684683836.5895
MEM 128.152344 1684683836.6901
MEM 133.847656 1684683836.7908
MEM 142.589844 1684683836.8915
MEM 149.214844 1684683836.9921
MEM 152.945312 1684683837.0928
MEM 156.121094 1684683837.1935
MEM 162.992188 1684683837.2941
MEM 165.871094 1684683837.3947
MEM 170.082031 1684683837.4953
MEM 176.683594 1684683837.5960
MEM 205.105469 1684683837.6967
MEM 238.519531 1684683837.7973
MEM 245.039062 1684683837.8979
MEM 249.910156 1684683837.9985
MEM 252.070312 1684683838.0991
MEM 254.648438 1684683838.1997
MEM 256.457031 1684683838.3003
MEM 257.226562 1684683838.4009
MEM 258.773438 1684683838.5017
MEM 261.406250 1684683838.6024
MEM 264.011719 1684683838.7031
MEM 265.296875 1684683838.8038
MEM 267.617188 1684683838.9045
MEM 270.121094 1684683839.0053
MEM 272.183594 1684683839.1059
MEM 275.277344 1684683839.2067
MEM 275.851562 1684683839.3074
MEM 278.687500 1684683839.4081
MEM 281.781250 1684683839.5087
MEM 285.000000 1684683839.6094
MEM 286.804688 1684683839.7103
MEM 289.898438 1684683839.8110
MEM 291.703125 1684683839.9117
MEM 294.796875 1684683840.0124
MEM 296.343750 1684683840.1131
MEM 298.148438 1684683840.2138
MEM 299.953125 1684683840.3146
MEM 300.210938 1684683840.4154
MEM 302.789062 1684683840.5161
MEM 304.593750 1684683840.6168
MEM 306.386719 1684683840.7175
MEM 308.179688 1684683840.8183
MEM 310.242188 1684683840.9190
MEM 312.062500 1684683841.0196
MEM 315.441406 1684683841.1203
MEM 317.246094 1684683841.2209
MEM 319.566406 1684683841.3215
MEM 321.886719 1684683841.4221
MEM 322.660156 1684683841.5227
MEM 322.917969 1684683841.6233
MEM 322.917969 1684683841.7240
MEM 322.917969 1684683841.8246
MEM 323.175781 1684683841.9252
MEM 323.175781 1684683842.0258
MEM 339.746094 1684683842.1264
MEM 358.566406 1684683842.2271
MEM 369.414062 1684683842.3277
MEM 411.179688 1684683842.4283
MEM 450.625000 1684683842.5289
MEM 472.847656 1684683842.6295
MEM 497.597656 1684683842.7301
MEM 530.597656 1684683842.8308
MEM 564.886719 1684683842.9314
MEM 600.464844 1684683843.0320
MEM 636.300781 1684683843.1326
MEM 673.425781 1684683843.2332
MEM 710.550781 1684683843.3339
MEM 749.222656 1684683843.4345
MEM 804.136719 1684683843.5351
MEM 861.371094 1684683843.6358
MEM 918.347656 1684683843.7364
MEM 975.839844 1684683843.8370
MEM 999.843750 1684683843.9377
MEM 1016.859375 1684683844.0383
MEM 1033.875000 1684683844.1389
MEM 1050.632812 1684683844.2396
MEM 1067.648438 1684683844.3402
MEM 1081.054688 1684683844.4408
MEM 1085.437500 1684683844.5415
MEM 1102.453125 1684683844.6421
MEM 1119.468750 1684683844.7427
MEM 1137.773438 1684683844.8434
MEM 1156.078125 1684683844.9441
MEM 1174.640625 1684683845.0447
MEM 1099.472656 1684683845.1452
MEM 1095.824219 1684683845.2458
MEM 1111.292969 1684683845.3464
MEM 1125.730469 1684683845.4470
MEM 1141.457031 1684683845.5476
MEM 1156.667969 1684683845.6481
MEM 1173.425781 1684683845.7487
MEM 1189.925781 1684683845.8492
MEM 1206.683594 1684683845.9497
MEM 1221.894531 1684683846.0503
MEM 1237.878906 1684683846.1508
MEM 1255.152344 1684683846.2514
MEM 1271.136719 1684683846.3519
MEM 1288.925781 1684683846.4524
MEM 1304.652344 1684683846.5530
MEM 1325.277344 1684683846.6535
MEM 1345.902344 1684683846.7541
MEM 1366.527344 1684683846.8546
MEM 1386.121094 1684683846.9551
MEM 1392.308594 1684683847.0557
MEM 1309.750000 1684683847.1562
MEM 1326.765625 1684683847.2568
MEM 1343.523438 1684683847.3573
MEM 1359.765625 1684683847.4579
MEM 1376.781250 1684683847.5584
MEM 1393.281250 1684683847.6590
MEM 1409.265625 1684683847.7595
MEM 1425.765625 1684683847.8601
MEM 1442.781250 1684683847.9606
MEM 1458.765625 1684683848.0612
MEM 1473.718750 1684683848.1617
MEM 1490.992188 1684683848.2622
MEM 1503.625000 1684683848.3630
MEM 1514.453125 1684683848.4636
MEM 1529.406250 1684683848.5642
MEM 1546.679688 1684683848.6647
MEM 1563.179688 1684683848.7652
MEM 1579.421875 1684683848.8658
MEM 1596.437500 1684683848.9663
MEM 1613.453125 1684683849.0668
MEM 1629.437500 1684683849.1674
MEM 1641.812500 1684683849.2679
MEM 1642.386719 1684683849.3684
MEM 1642.386719 1684683849.4689
