CMDLINE /home/ey/personal/program/MoE/huggingface/transformers/venv/bin/python ./memory_profile.py
MEM 0.542969 1684683945.6073
MEM 10.492188 1684683945.7079
MEM 17.683594 1684683945.8085
MEM 21.929688 1684683945.9091
MEM 27.515625 1684683946.0100
MEM 35.421875 1684683946.1106
MEM 37.714844 1684683946.2113
MEM 40.351562 1684683946.3119
MEM 42.179688 1684683946.4127
MEM 43.949219 1684683946.5134
MEM 46.011719 1684683946.6140
MEM 52.703125 1684683946.7146
MEM 53.734375 1684683946.8153
MEM 75.179688 1684683946.9159
MEM 104.082031 1684683947.0166
MEM 117.121094 1684683947.1172
MEM 129.480469 1684683947.2180
MEM 135.117188 1684683947.3186
MEM 144.824219 1684683947.4193
MEM 150.250000 1684683947.5199
MEM 153.843750 1684683947.6206
MEM 157.191406 1684683947.7214
MEM 164.574219 1684683947.8221
MEM 168.015625 1684683947.9226
MEM 173.382812 1684683948.0233
MEM 181.972656 1684683948.1238
MEM 213.968750 1684683948.2244
MEM 243.539062 1684683948.3251
MEM 250.789062 1684683948.4258
MEM 254.238281 1684683948.5265
MEM 257.152344 1684683948.6272
MEM 257.925781 1684683948.7279
MEM 261.074219 1684683948.8285
MEM 264.695312 1684683948.9291
MEM 267.273438 1684683949.0296
MEM 269.675781 1684683949.1303
MEM 273.882812 1684683949.2309
MEM 276.265625 1684683949.3315
MEM 278.843750 1684683949.4320
MEM 284.441406 1684683949.5326
MEM 287.019531 1684683949.6332
MEM 290.886719 1684683949.7337
MEM 293.980469 1684683949.8343
MEM 297.074219 1684683949.9348
MEM 299.910156 1684683950.0354
MEM 300.425781 1684683950.1360
MEM 303.261719 1684683950.2365
MEM 305.839844 1684683950.3371
MEM 307.875000 1684683950.4376
MEM 310.453125 1684683950.5381
MEM 313.582031 1684683950.6387
MEM 317.191406 1684683950.7393
MEM 320.285156 1684683950.8399
MEM 322.605469 1684683950.9404
MEM 323.121094 1684683951.0410
MEM 323.378906 1684683951.1415
MEM 323.636719 1684683951.2420
MEM 323.636719 1684683951.3425
MEM 335.687500 1684683951.4431
MEM 359.027344 1684683951.5437
MEM 372.441406 1684683951.6442
MEM 408.070312 1684683951.7448
MEM 425.859375 1684683951.8454
MEM 455.765625 1684683951.9462
MEM 488.507812 1684683952.0468
MEM 518.156250 1684683952.1475
MEM 550.898438 1684683952.2482
MEM 581.062500 1684683952.3488
MEM 610.453125 1684683952.4495
MEM 641.132812 1684683952.5503
MEM 670.550781 1684683952.6509
MEM 687.308594 1684683952.7516
MEM 703.808594 1684683952.8522
MEM 720.566406 1684683952.9528
MEM 737.324219 1684683953.0535
MEM 753.824219 1684683953.1541
MEM 763.105469 1684683953.2548
MEM 769.035156 1684683953.3554
MEM 785.277344 1684683953.4561
MEM 802.035156 1684683953.5567
MEM 818.277344 1684683953.6573
MEM 835.292969 1684683953.7580
MEM 852.308594 1684683953.8586
MEM 857.464844 1684683953.9593
MEM 772.558594 1684683954.0599
MEM 788.398438 1684683954.1604
MEM 802.320312 1684683954.2610
MEM 811.085938 1684683954.3616
MEM 824.234375 1684683954.4623
MEM 838.156250 1684683954.5628
MEM 853.882812 1684683954.6635
MEM 869.093750 1684683954.7641
MEM 883.789062 1684683954.8646
MEM 899.515625 1684683954.9652
MEM 914.726562 1684683955.0658
MEM 931.226562 1684683955.1663
MEM 946.695312 1684683955.2669
MEM 962.421875 1684683955.3675
MEM 978.664062 1684683955.4680
MEM 995.679688 1684683955.5686
MEM 1015.273438 1684683955.6692
MEM 1035.898438 1684683955.7697
MEM 1056.781250 1684683955.8704
MEM 1074.570312 1684683955.9710
MEM 984.097656 1684683956.0715
MEM 1000.082031 1684683956.1721
MEM 1017.355469 1684683956.2726
MEM 1034.371094 1684683956.3732
MEM 1049.839844 1684683956.4737
MEM 1066.855469 1684683956.5743
MEM 1083.355469 1684683956.6748
MEM 1099.082031 1684683956.7754
MEM 1116.097656 1684683956.8759
MEM 1133.113281 1684683956.9764
MEM 1149.097656 1684683957.0770
MEM 1165.855469 1684683957.1776
MEM 1182.871094 1684683957.2781
MEM 1198.597656 1684683957.3787
MEM 1215.097656 1684683957.4793
MEM 1232.886719 1684683957.5798
MEM 1249.128906 1684683957.6804
MEM 1265.371094 1684683957.7809
MEM 1282.644531 1684683957.8814
MEM 1296.566406 1684683957.9820
MEM 1311.519531 1684683958.0825
MEM 1323.378906 1684683958.1831
MEM 1332.660156 1684683958.2836
MEM 1341.425781 1684683958.3842
MEM 1354.832031 1684683958.4847
MEM 1359.472656 1684683958.5853
MEM 1377.003906 1684683958.6858
MEM 1381.128906 1684683958.7864
MEM 1395.308594 1684683958.8869
MEM 1403.558594 1684683958.9874
MEM 1413.355469 1684683959.0880
MEM 1425.214844 1684683959.1885
MEM 1431.402344 1684683959.2891
MEM 1445.324219 1684683959.3896
MEM 1449.707031 1684683959.4902
MEM 1467.496094 1684683959.5907
MEM 1471.105469 1684683959.6913
MEM 1482.707031 1684683959.7920
MEM 1485.542969 1684683959.8927
MEM 1495.339844 1684683959.9934
MEM 1503.589844 1684683960.0941
MEM 1511.582031 1684683960.1947
MEM 1521.636719 1684683960.2952
MEM 1534.527344 1684683960.3957
MEM 1539.941406 1684683960.4962
MEM 1557.472656 1684683960.5968
MEM 1561.855469 1684683960.6973
MEM 1575.519531 1684683960.7979
MEM 1578.097656 1684683960.8985
MEM 1592.277344 1684683960.9994
MEM 1593.566406 1684683961.1001
MEM 1606.714844 1684683961.2008
MEM 1611.613281 1684683961.3015
MEM 1621.410156 1684683961.4022
MEM 1629.660156 1684683961.5028
MEM 1637.910156 1684683961.6034
MEM 1647.707031 1684683961.7039
MEM 1660.339844 1684683961.8044
MEM 1665.753906 1684683961.9050
MEM 1681.996094 1684683962.0055
MEM 1685.863281 1684683962.1062
MEM 1700.558594 1684683962.2067
MEM 1701.847656 1684683962.3074
MEM 1716.285156 1684683962.4080
MEM 1719.894531 1684683962.5087
MEM 1720.667969 1684683962.6094
MEM 1733.300781 1684683962.7101
MEM 1737.683594 1684683962.8108
MEM 1749.285156 1684683962.9114
MEM 1755.730469 1684683963.0119
MEM 1771.199219 1684683963.1124
MEM 1775.066406 1684683963.2130
MEM 1791.824219 1684683963.3135
MEM 1796.980469 1684683963.4141
MEM 1809.871094 1684683963.5146
MEM 1819.410156 1684683963.6152
MEM 1827.917969 1684683963.7156
MEM 1842.355469 1684683963.8161
MEM 1847.511719 1684683963.9166
MEM 1864.011719 1684683964.0172
MEM 1869.941406 1684683964.1177
MEM 1882.058594 1684683964.2183
MEM 1892.113281 1684683964.3188
MEM 1900.105469 1684683964.4193
MEM 1914.542969 1684683964.5198
MEM 1918.925781 1684683964.6203
MEM 1935.941406 1684683964.7208
MEM 1941.355469 1684683964.8214
MEM 1953.988281 1684683964.9219
MEM 1964.042969 1684683965.0224
MEM 1972.035156 1684683965.1230
MEM 1987.761719 1684683965.2235
MEM 1992.660156 1684683965.3240
MEM 2008.128906 1684683965.4245
MEM 2015.605469 1684683965.5251
MEM 2026.175781 1684683965.6256
MEM 2038.550781 1684683965.7261
MEM 2044.222656 1684683965.8267
MEM 2060.464844 1684683965.9272
MEM 2065.621094 1684683966.0277
